text,intent
I need a password reset needed,ResetPassword
User needs password reset,ResetPassword
I would like a password reset,ResetPassword
Can I get a password reset,ResetPassword
password reset is needed,ResetPassword
I need a password reset for covid login,ResetPassword
unlocked password and password reset needed,ResetPassword
I'd like to help with a password reset,ResetPassword
I need their password reset,ResetPassword
I need my password reset,ResetPassword
I need his password reset,ResetPassword
I need her password reset,ResetPassword
I need to have his password reset,ResetPassword
Her password needs to be reset,ResetPassword
Can you please reset my password,ResetPassword
I am trying to reset my password,ResetPassword
I need to reset the password,ResetPassword
I need to help me reset my password,ResetPassword
Could you please reset my password,ResetPassword
Caller wanted to reset her password,ResetPassword
I need assistance with Provider Relief Fund,CallForAssistance
I need assistance with Star loan repayment program,CallForAssistance
I need assistance with a pw reset,CallForAssistance
I need assistance with Vaccine Injury Compensation,CallForAssistance
I need assistance with a Provider Relief Fund application,CallForAssistance
I need assistance with the Provider Relief application,CallForAssistance
I need assistance with change ins scope,CallForAssistance
I need assistance with Capital Improvement Grant,CallForAssistance
I need assistance with locating Revised Budget,CallForAssistance
I need assistance with Nurse Corp Loan Repayment,CallForAssistance
I need assistance with Provider Relief Fund-Phase 3,CallForAssistance
I need assistance with National Vaccine Injury Compensation Program,CallForAssistance
I need assistance with BHW Portal,CallForAssistance
User calling for assistance with the Provider Relief Fund,CallForAssistance
User calling for assistance regarding the Provider Relief Fund,CallForAssistance
I need assistance with changing Project director,CallForAssistance
I need assistance with a pw reset and update email,CallForAssistance
help with medical bills due to covid,CallForAssistance
Grantee needed assistance with locating RSR 2020 Annual Performance Report,CallForAssistance
I need assistance with registration code for RSR,CallForAssistance
Can you help check the status,CheckStatus
I need to check the status of her ticket,CheckStatus
I would like to check the status of there application,CheckStatus
I need to check the status of her FTCA  application,CheckStatus
I want to check the status for ticket 01271676,CheckStatus
Can I check the status of her phase 4 grant,CheckStatus
I'd like to check the status of his phase 4 funding,CheckStatus
I'd like to check the status of an uninsured COVID-19 Claim,CheckStatus
Can I check the status of there American Rescue Plan Application,CheckStatus
I want to check the status of her provider relief funds,CheckStatus
I would like to check the status of their loan repayment Program Application,CheckStatus
I'd like to check the status of a claim,CheckStatus
I would like to check the status of a claim for the Provider Relief Fund,CheckStatus
I would like to check the status of her ticket 01266337,CheckStatus
User call to check claims status,CheckStatus
User called to check claims status,CheckStatus
User calling to check claims status,CheckStatus
Caller wanted to check claims status,CheckStatus
I'd like to check the status of this application,CheckStatus
I would like to check the status of his provider relief fund from cares act,CheckStatus
Can I speak with someone regarding the data,SpeakWithSomeone
I need to speak with someone regarding region 10,SpeakWithSomeone
I'd like to speak with someone regarding student loan options,SpeakWithSomeone
I need to speak with someone regarding PRF funding,SpeakWithSomeone
I'd like to speak with someone regarding the LRP,SpeakWithSomeone
I want to speak with someone from the finance department,SpeakWithSomeone
I need to speak with someone regarding debt repayment,SpeakWithSomeone
I'd like to speak with someone regarding the 340B Program,SpeakWithSomeone
I would like to speak with someone regarding organ transplant,SpeakWithSomeone
I need to speak with someone regarding covid related claims,SpeakWithSomeone
I need to speak with someone from the provider relief helpline,SpeakWithSomeone
I need to speak with someone regarding covid uninsured claims,SpeakWithSomeone
I'd like to speak with someone regarding provider relief phase 4,SpeakWithSomeone
I would like to speak with someone regarding the Nurse loan forgiveness program,SpeakWithSomeone
I would like to speak with someone regarding provider support,SpeakWithSomeone
I would like to speak with someone regarding the loan repayment portal,SpeakWithSomeone
I'd like to speak with someone in reference to competitive billing,SpeakWithSomeone
I want to speak with someone regarding the FTCA,SpeakWithSomeone
Can I speak with someone about the requirements regarding rural,SpeakWithSomeone
I need to speak with someone regarding hospital designation,SpeakWithSomeone
I need assistance with registering as PD,RegisterAsPD
User calling needing assistance with registering as PD for this grant,RegisterAsPD
I need to help registering as PD,RegisterAsPD
I need assistance with registering as PD for 3 grants,RegisterAsPD
PD needed assistance with registering as PD for 2 grrantse4chp39883,RegisterAsPD
PD needed assistance with registering as PD for 2 grants,RegisterAsPD
 X10MC33583,RegisterAsPD
I need assistance registering as PD for grant P06HA39524,RegisterAsPD
I need assistance with registering as the PD and providing privileges users with privileges,RegisterAsPD
how to register as the PD,RegisterAsPD
PD needed assistance with registering as PD and creating a new account,RegisterAsPD
PD needed assistance with registering as PD and updating name on profile to match NOA,RegisterAsPD
I want to register to their grant as PD,RegisterAsPD
Can I find their CRS-EIN number to register as PD,RegisterAsPD
Please extend the deadline,"ExtendDeadline	"
I want to extend the deadline for their RFI report,"ExtendDeadline	"
I'd like to extend the deadline on the following FFR to 4/30/2022,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 4/30/2022:,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 4/29/2022:,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 8/13/2021:,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 8/12/2021:,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 8/29/2021:,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 7/30/2021:,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 2/21/2022:,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 2/15/2021:,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 12/31/2021:,"ExtendDeadline	"
Please have DMI extend the deadline on the following FFR to 11/30/2021:,"ExtendDeadline	"
