text,intent
can you help me to create an account,CreateAccount
User call to check claims status,CheckStatus
Caller had questions about the provider relief fund,CallForInformation
have their EHB account enabled and password reset,ReportEHBAccountUnlocked
I need assistance with creating an EHB account,CreateEHBAccount
change who receives notifications related to the Grant,GetLoan
I'd like to check the status of a claim,CheckStatus
wants to request extension,RequestExtension
I would like a new password,ReportUnableToLogin
they qualify for an FTCA application,ApplyForProgram
I want to check the status for ticket 01271676,CheckStatus
I want to update her  Privilege's to access a grant application,AccessGrant
I need help accessing the grant we received,AccessGrant
having hard time adding a grant to portfolio,AddGrant
how do I can obtain access to this grant,AccessGrant
I would like to request an extension for their report 00288661,RequestExtension
access to this grant but PD has not yet registered,AccessGrant
Please have DMI extend the deadline on the following FFR to 2/21/2022:,ExtendDeadline	
Grantee is the PD and she cannot locate a grant,ApplyForGrant
trying to log into the EHB is expiring,LogIntoEHB
I want to add a grant to their portfolio and registering to an organization,AddGrant
request assistance for provider relief fund assistance,CallForInformation
Her name on the NoA is incorrect and cannot register grant,RegisterGrant
how to add another user to EHB,AddUser
User requested for account to be unlocked,UnlockAccount
trying to register with the EHB but they are GUID,CreateEHBAccount
I want to know if they are eligible for the vaccine program,ApplyForProgram
I need to access a prior approval for Extension without Funds,SubmitPriorApprovalRequest
I need to find a health center in 30273 to get tested for COVID-19,FindHealthCenter
I need assistance with registering as the PD and providing privileges users with privileges,RegisterAsPD
I'd like to set up an EHB account for a new grant award,CreateEHBAccount
how they create a contract between  pace and FQHC,GiveAccess
I need a password reset needed,ResetPassword
Please have DMI extend the deadline on the following FFR to 4/30/2022: Document Number,ExtendDeadline	
I want to change my password but couldn't do due the reason,ChangePassword
update for ticket 01209864,GetUpdate
Caller is running into issues completing the Provider Relief Fund application,CallForInformation
I am attempting to create an EHB account using the email address: tvandyk@llu.edu,CreateEHBAccount
Grantee is unable to login into the EHB account,ReportUnableToLogin
she wanted to file a complaint against a clinic Cl Bromback on 45th st,FileComplaint
PD needed assistance with registering as PD and updating name on profile to match NOA,RegisterAsPD
I want to request an extension for an NOA condition,RequestExtension
Can I add a grant to his portfolio,AddGrant
I want to add another user to add another user in EHB,AddUser
User needs password reset,ResetPassword
I'd like to apply for the Phase 4 provider relief fund and want to know the status,AskAboutStatus
service provider is unable to login into their EHB account,ReportUnableToLogin
I want to change my password so I can begin my application,ChangePassword
what steps I need to take to receive access,GetAccess
I have been having trouble accessing my account in EHB,AccessAccount
I'd like to get prior approval to draw funds,SubmitPriorApprovalRequest
couldn't locate grant in portfolio,ApplyForGrant
Can I apply for the program,ApplyForProgram
"Caller called to inquire about Loan Repayment Program, which they are interested in",AskAboutLoanRepaymentProgram
I need to create an account for the electronic handbook,CreateAccount
I need to speak with someone regarding debt repayment,SpeakWithSomeone
caller stated that she is calling for provider relief funding,CallForInformation
I am having trouble adding a grant,ApplyForGrant
I would like to speak with someone regarding the loan repayment portal,SpeakWithSomeone
I want to find a health center in Tenessee,FindHealthCenter
Can I add a grant to their portfolio as the Project Director,AddGrant
Can I get an update for a patient regarding their Covid-19 uninsured claim,GetUpdate
I want to extend the due date for the below FFR to 3/31/2021,ExtendDueDate
how to create an account,CreateAccount
Caller needed assistance with filing a complaint against a funded HRSA center,FileComplaint
I would like to add new users to profile,AddUser
"Even if you do NOT want to buy cryptocurrency, do you know that the world's biggest exchange Binance has a referral program",DoNotWantToBuyCryptocurrency
Please extend the due date to 8/20/21,ExtendDueDate
looking for a health center that can assist with high blood pressure,FindHealthCenter
I need help getting access,GetAccess
there is a discrepancy in the Prior Approval Request status for U4CMC32315,SubmitPriorApprovalRequest
I'd like to get an access to the account,AccessAccount
I want to change my password by today,ChangePassword
what is the status of their application,AskAboutStatus
she has not received an email confirmation that she can now access the account,AccessAccount
User calling regarding Provider Relief Fund and funding that they received,CallForInformation
I want to find a health center that assists individuals without insurance,FindHealthCenter
Could you assist me to access my account,AccessAccount
update on her ticket 01111483,GetUpdate
Grantee password is not being recognized when they attempt to log into the EHB,LogIntoEHB
removing a user from the organiation,RemoveUser
I need to add a user to the ARP application,AddUser
order covid testing kits to their house,GiveAccess
