id,intent,text
1,Data Request,Request for Form 1C data dump by 3/31/22 - request form attached
2,Data Request,"Hello, we request a report that include the following fields:
	? Health Center ID
	? Health Center Name
	? City
	? State
	? Date of Note
	? Subject
	? Note Text
	? Name of Note Creator
	? Email of Note Creator

	A similar request was made in ticket 01099545. We would like an updated file similar to that ticket, for the following activity codes, for notes created on or after January 1, 2020 : 

	? H80
	? H8C
	? H8D
	? H8E
	? H8F
	? L1C
	? L2C
	? C8E
	? C14
	? L2C
	? H2C
	? H8H
	? H2E
	
Please let us know if it is possible to provide this list on 4/1/22 and if not, when is the soonest you can provide the data. 
Thank you!"
3,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
4,Data Request,Ad-hoc request for NCC data for NTTAPs; see attached forms.
5,Data Request,Ad-hoc request for NCC data for PCAs; see attached forms.
6,Data Request,"Request H8F Project Overview Data Report showing Work Plan Categories and Activities in H8F Award Submissions.  Note - Request previously fulfilled back in July 2021.  Updated data ? same format requested.

Jira 51211

EHBSOMTASK 12030	Report delivery date 08/13
EHBSOMTASK 12031	Report delivery date 10/01"
7,Data Request,"Request for H8C, H8D, H8E, and H8F data from the COVID-19 Submission. Specifically looking for the ?Recommend Submission Review for Approval?; PO Role within the Comprehensive Action History."
8,Data Request,"We would like to create a contribution report for progress report for all of supplemental grants by May 3rd, 2022. I also need the SQL code that generate this report.  

The data we need is below. 
?	Contributor Name (Contributor Request Sent to)
?	Contributor Email
?	Contributor Request Date
?	Contribution Deadline
?	Contribution Status
?	Deliverable Status
?	Invitation Comments (Contribution Request Text)
?	Contribution Date (Contributor returned date, contribution response date)
?	Contribution Comment (Contributor returned comment; Contribution Response Text)
?	Entity tracking number
?	Submission/Progress Report Name
?	Submission/Progress Report Number
?	Contributor Requested By (Name)
?	Contributor Requested By (Email)
?	Grant Number
?	H80/LAL Grant Number
?	BHCMIS ID
?	Org name
?	State
?	Progress Report Tracking Number
?	Progress Report Submission Date
?	Progress Reporting Period
?	Package Name
Supplemental grants: H8C, H8D, H8E, H8F, H8H, NHCI (H80), L1C, L2C, C8E, H2E, PCHP FY20. 
Thank you so much for your great help.

Regards,
Chiu-Fang"
9,Data Request,I am requesting an ad hoc report from the developer regarding the FY22 ARP-UDS+ application data set. Please see a mocked up report attached.
10,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
11,Data Request,"We would like to request the SQL code for the tasks report in EHB so we could create a Dashboard for our office and we do not need to download tasks report  twice a week . 

The fields are below and we only need the SQL code for the raw data.  Thank you.

Sr No
Bureau/Office
Grant Related?
Assignee
Assignee Status
Assignee Bureau/Office
Assignee Org Level-2
Assignee Org Level-3
Team Name
Task Bureau/Office
Task Category
Interval
Task Role
Task Document
Task Type
Task Status
Tracking Number
Grant Bureau/Office
Grant Status
Grant Number
Grantee Name
Grant Street Address
Grant City
Grant State
Grant Org Level-2
Grant Org Level-3
Project Period Start Date
Project Period End Date
Created Date
Assigned On
Completed On
Last Updated On
Report Date
Days Since Created
Days Since Assigned
Days Since Completed
Calendar Year (Latest Update)
Completed Quarter"
12,Data Request,"Request for H8D, H8E, data from the H8D: CARES Response H8E: ECT Reporting Requirement submussions

Specifically looking for the ?Recommend Submission Review for Approval?; PO Role within the Comprehensive Action History (see included screen shot"
